World bank region,Country,Year,Birth Rate,Death Rate,Fertility Rate,Life Expectancy at Birth Female,Life Expectancy at Birth Male,Life Expectancy at Birth Total,Population Density,Urban Population Percent,Urban Population Percent Growth,Telephone Lines per 100 People,ImageURL
North America,Canada,2001,10.9,7.1,1.49,81.9,76.7,79.23658537,3.383698924,79.478,1.355943935,67.88843038,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2002,10.6,7.1,1.505,82.1,77,79.48780488,3.418031101,79.81,1.426376381,68.17744388,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2003,10.7,7.1,1.52,82.1,77.2,79.5902439,3.448833289,79.888,0.994818992,65.91921568,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2004,10.5,7.2,1.53,82.4,77.4,79.83902439,3.48336341,79.967,1.09507088,65.24512774,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2005,10.65,7.25,1.53,82.6,77.8,80.14146341,3.518443373,80.045,1.09952778,64.43237593,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2006,10.65,7.1,1.54,82.7,78,80.29268293,3.5533034,80.122,1.082053833,56.26747352,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2007,10.9,7,1.5862,83,78.4,80.64390244,3.581730817,80.213,0.91035488,55.9198091,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2008,11.2,7.1,1.6589,82.748,78.105,80.36987805,3.61663736,80.396,1.197738536,55.42391779,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2009,11.3,7.2,1.6808,82.886,78.312,80.54321951,3.655989052,80.578,1.308319243,54.69000834,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2010,11.3,7.1,1.668,83.023,78.521,80.71709756,3.698084788,80.758,1.367975607,55.42681163,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2011,11.1,7.1,1.6269,83.162,78.733,80.8934878,3.739510266,80.937,1.335367053,53.89987294,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2012,11,7.2,1.61,83.302,78.941,81.06831707,3.776625307,81.115,1.207298991,52.77867456,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
North America,Canada,2013,11,7.2,1.61,83.441,79.14,81.23804878,3.82188088,81.293,1.410385947,50.65448976,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg
Sub-Saharan Africa,Sao Tome and Principe,1980,40.942,10.531,6.455,61.877,58.96,60.38292683,96.48125,33.109,3.934072296,34.04391209,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1981,40.915,10.581,6.409,62.117,58.983,60.51178049,98.909375,33.482,3.60601368,17.43333442,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1982,40.792,10.688,6.348,62.296,58.958,60.58629268,101.0322917,33.857,3.237169558,0.822756751,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1983,40.58,10.79,6.271,62.441,58.929,60.64217073,102.91875,34.826,4.673177668,1.236817068,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1984,40.292,10.841,6.181,62.574,58.932,60.70858537,104.703125,35.887,4.719878305,1.547032781,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1985,39.935,10.821,6.078,62.709,58.987,60.80260976,106.5885417,36.963,4.737400279,1.724896164,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1986,39.519,10.724,5.967,62.853,59.099,60.93021951,108.7197917,38.049,4.876246512,1.795517912,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1987,39.056,10.558,5.849,63.008,59.26,61.08829268,111.1291667,39.149,5.042920239,1.87563271,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1988,38.569,10.357,5.73,63.167,59.444,61.26009756,113.7614583,40.26,5.137948519,1.938449424,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1989,38.08,10.147,5.613,63.325,59.631,61.43295122,116.55625,41.382,5.176625385,2.00189465,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1990,37.61,9.94,5.501,63.484,59.814,61.6042439,119.4239583,42.511,5.123066285,1.918933771,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1991,37.176,9.747,5.395,63.643,59.989,61.77143902,122.2864583,43.648,5.008097954,1.874015077,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1992,36.786,9.575,5.296,63.802,60.156,61.93453659,125.1604167,44.793,4.912373274,1.845964346,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1993,36.445,9.423,5.203,63.96,60.319,62.09509756,128.0510417,45.764,4.426675221,1.919807368,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1994,36.157,9.287,5.115,64.118,60.481,62.25514634,130.8625,46.717,4.233887678,1.899258127,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1995,35.932,9.169,5.032,64.275,60.643,62.41470732,133.4739583,47.673,4.001335278,1.919850158,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1996,35.79,9.068,4.956,64.428,60.801,62.57026829,135.8104167,48.631,3.724424358,1.916734418,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1997,35.745,8.98,4.887,64.574,60.951,62.71831707,137.8364583,49.592,3.438405465,1.96186604,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1998,35.797,8.9,4.826,64.712,61.096,62.85990244,139.6135417,50.55,3.194297404,3.208260899,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,1999,35.935,8.82,4.773,64.847,61.236,62.99746341,141.3020833,51.509,3.081101712,3.166236638,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2000,36.143,8.735,4.727,64.984,61.378,63.13702439,143.1208333,52.467,3.122259819,3.294127922,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2001,36.408,8.639,4.687,65.139,61.534,63.29253659,145.2375,53.424,3.275044365,3.309234874,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2002,36.717,8.522,4.654,65.327,61.717,63.47797561,147.690625,54.377,3.442633072,3.837554573,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2003,37.04,8.386,4.625,65.556,61.936,63.70185366,150.465625,55.327,3.59367397,4.407152797,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2004,37.343,8.23,4.598,65.829,62.19,63.96512195,153.5989583,56.25,3.715251589,4.726865823,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2005,37.59,8.059,4.572,66.139,62.473,64.26129268,157.1270833,57.144,3.848174939,4.673764601,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2006,37.735,7.879,4.542,66.471,62.773,64.57690244,161.0572917,58.01,3.974620463,4.599812437,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2007,37.739,7.699,4.506,66.805,63.071,64.89246341,165.4229167,58.847,4.10770572,4.781305492,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2008,37.589,7.527,4.462,67.12,63.348,65.188,170.1979167,59.655,4.208600223,4.684497215,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2009,37.284,7.372,4.411,67.401,63.592,65.45004878,175.2635417,60.434,4.230565789,4.542563877,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2010,36.828,7.235,4.352,67.642,63.796,65.67209756,180.4583333,61.185,4.156049559,4.441237589,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2011,36.234,7.116,4.287,67.841,63.961,65.85368293,185.6541667,61.907,4.011946378,4.378661041,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2012,35.524,7.014,4.217,68.008,64.094,66.00326829,190.809375,62.6,3.851946173,4.345523728,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
Sub-Saharan Africa,Sao Tome and Principe,2013,34.742,6.919,4.145,68.156,64.21,66.13487805,195.9354167,63.265,3.707377578,4.271709428,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg
East Asia & Pacific,Cambodia,1980,42.78,48.922,5.545,27.323,21.401,24.28978049,38.38517448,5.999,4.484557814,16.10157283,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1981,44.439,42.066,5.685,32.531,26.835,29.61353659,37.95192046,9.898,48.93894131,14.09266958,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1982,46.118,33.832,5.85,38.656,33.19,35.85634146,38.30530818,12.742,26.18395464,12.08376633,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1983,47.555,25.818,6.008,44.628,39.365,41.93231707,39.33320304,13.031,4.890788252,10.07486308,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1984,48.541,19.268,6.13,49.611,44.501,46.99368293,40.8319114,13.325,5.970545876,8.065959834,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1985,48.97,14.701,6.2,53.247,48.229,50.67680488,42.48431339,13.626,6.20091489,6.057056586,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1986,48.793,12.246,6.21,55.435,50.445,52.87914634,44.05866191,13.931,5.852410776,4.048153338,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1987,48.048,11.571,6.16,56.386,51.371,53.81734146,45.4917913,14.242,5.408864389,2.03925009,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1988,46.9,11.783,6.065,56.697,51.628,54.10068293,46.85611829,14.559,5.156339867,0.030346841,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1989,45.506,12.142,5.941,56.869,51.738,54.24092683,48.21446295,14.883,5.058779446,0.031371841,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1990,43.945,12.392,5.792,57.079,51.886,54.41917073,49.67518695,15.211,5.164529868,0.033026696,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1991,42.273,12.374,5.623,57.441,52.193,54.753,51.31055404,15.546,5.417584832,0.034392,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1992,40.521,12.075,5.438,57.979,52.679,55.26436585,53.12817245,15.887,5.650844854,0.041425926,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1993,38.709,11.661,5.24,58.594,53.245,55.85426829,55.07463743,16.234,5.758880897,0.041844211,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1994,36.876,11.26,5.033,59.22,53.82,56.45414634,57.08930433,16.587,5.743889216,0.041826248,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1995,35.082,10.867,4.825,59.871,54.424,57.08107317,59.08830727,16.946,5.582871484,0.066565883,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1996,33.391,10.476,4.62,60.559,55.078,57.75165854,61.00837299,17.311,5.328857211,0.079188812,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1997,31.852,10.084,4.423,61.292,55.796,58.47697561,62.82920349,17.683,5.06705197,0.139532439,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1998,30.484,9.691,4.236,62.066,56.578,59.25507317,64.55901881,18.06,4.825552035,0.175886924,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,1999,29.299,9.3,4.059,62.878,57.42,60.08243902,66.1983458,18.355,4.127827029,0.207619261,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2000,28.315,8.914,3.896,63.729,58.32,60.95853659,67.7570077,18.47,2.951793119,0.231629752,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2001,27.545,8.533,3.75,64.627,59.278,61.88726829,69.24354747,18.586,2.796309084,0.252641135,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2002,26.99,8.161,3.619,65.583,60.296,62.87502439,70.65820304,18.703,2.649959351,0.268540943,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2003,26.612,7.805,3.504,66.591,61.355,63.90914634,71.99941083,18.82,2.503980319,0.278684897,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2004,26.372,7.469,3.401,67.632,62.43,64.96756098,73.27424088,18.937,2.374856461,0.242601707,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2005,26.238,7.16,3.31,68.683,63.493,66.02470732,74.49232948,19.055,2.269927292,0.244726256,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2006,26.183,6.886,3.23,69.705,64.508,67.04312195,75.66521641,19.174,2.184796619,0.246854997,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2007,26.182,6.653,3.162,70.657,65.436,67.98282927,76.79047133,19.293,2.094920298,0.189213558,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2008,26.215,6.463,3.102,71.511,66.259,68.82095122,77.87949241,19.413,2.028253812,0.272992026,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2009,26.253,6.314,3.051,72.251,66.966,69.54404878,78.9741559,19.533,2.012026117,0.309170721,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2010,26.266,6.202,3.007,72.87,67.556,70.14819512,80.12817245,19.666,2.129279929,0.383195262,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2011,26.225,6.122,2.966,73.379,68.038,70.64336585,81.37848969,19.81,2.277924293,2.498097624,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2012,26.109,6.066,2.929,73.798,68.435,71.05109756,82.74338319,19.967,2.452689701,3.628680046,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
East Asia & Pacific,Cambodia,2013,25.917,6.024,2.894,74.167,68.782,71.40882927,84.20941536,20.137,2.604093308,3.93198062,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg
Sub-Saharan Africa,Ethiopia,1980,48.849,21.184,7.271,45.411,42.421,43.87953659,31.39922252,10.214,3.421297707,0.176928081,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1981,48.981,21.316,7.316,45.267,42.299,43.74680488,32.00836421,10.41,3.822181463,0.181790017,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1982,49.1,21.374,7.36,45.183,42.236,43.67356098,32.78330972,10.61,4.295221559,0.190588995,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1983,49.174,21.325,7.397,45.205,42.277,43.70529268,33.70575204,10.813,4.67012658,0.200921406,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1984,49.181,21.151,7.424,45.36,42.448,43.8684878,34.74961853,11.02,4.946270534,0.219026313,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1985,49.111,20.852,7.437,45.655,42.753,44.16860976,35.87067212,11.232,5.080645546,0.227489966,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1986,48.96,20.449,7.435,46.066,43.172,44.58370732,37.03650227,11.453,5.146876675,0.234378588,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1987,48.735,19.979,7.418,46.553,43.667,45.07480488,38.23884559,11.679,5.148864121,0.245091746,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1988,48.455,19.494,7.387,47.058,44.182,45.58492683,39.4890109,11.909,5.167268359,0.244106128,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1989,48.144,19.03,7.347,47.537,44.679,46.07314634,40.79620436,12.143,5.202496022,0.235959424,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1990,47.814,18.605,7.298,47.976,45.145,46.52597561,42.17559037,12.38,5.258198693,0.249471711,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1991,47.489,18.221,7.246,48.375,45.583,46.94495122,43.63556312,12.621,5.331070837,0.261013341,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1992,47.192,17.867,7.193,48.748,46.011,47.34612195,45.18063851,12.867,5.409990999,0.267552495,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1993,46.927,17.516,7.143,49.129,46.461,47.76246341,46.79896276,13.116,5.435938232,0.246558714,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1994,46.686,17.146,7.094,49.543,46.956,48.21795122,53.357867,13.37,5.412213238,0.248282039,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1995,46.456,16.751,7.046,49.996,47.501,48.71807317,55.199953,13.627,5.298043072,0.249512894,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1996,46.206,16.326,6.995,50.483,48.092,49.25834146,57.023519,13.827,4.707172831,0.249812713,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1997,45.898,15.873,6.935,50.993,48.715,49.82621951,58.815116,14.006,4.379768538,0.252892471,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1998,45.5,15.398,6.861,51.512,49.354,50.40668293,60.584273,14.186,4.240621638,0.258380587,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,1999,44.988,14.907,6.769,52.041,50.002,50.99663415,62.353942,14.369,4.16091059,0.263239171,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,2000,44.356,14.401,6.659,52.588,50.661,51.601,64.158887,14.553,4.125978244,0.303144286,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,2001,43.6,13.876,6.529,53.18,51.347,52.24114634,66.024199,14.74,4.142642722,0.351303012,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
Sub-Saharan Africa,Ethiopia,2002,42.727,13.323,6.38,53.852,52.085,52.94695122,67.956866,14.927,4.145857577,0.417445678,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg
